distance_items,mean_delta_bits,n
1,0.471889,425
2,0.234595,425
3,0.127359,425
4,0.109289,425
5,0.085854,425
6,0.077319,425
7,0.053874,425
8,0.048055,425
9,0.05062,425
10,0.046,425
11,0.039536,425
12,0.048746,425
13,0.034777,425
14,0.039905,425
15,0.024062,425
16,0.026772,425
17,0.028476,425
18,0.02046,425
19,0.020193,425
20,0.022186,425
21,0.025688,425
22,0.014813,425
23,0.015989,424
24,0.018464,424
25,0.028848,424
26,0.01706,424
27,0.018118,424
28,0.012635,424
29,0.013571,424
30,0.012931,424
31,0.010362,424
32,0.012705,424
33,0.01261,424
34,0.007364,424
35,0.01254,424
36,0.011658,424
37,0.012072,424
38,0.014499,424
39,0.008473,424
40,0.012503,424
41,0.011995,423
42,0.011528,423
43,0.011261,423
44,0.007746,423
45,0.013352,423
46,0.006851,423
47,0.005315,422
48,0.009035,422
49,0.006124,422
50,0.011353,422
51,0.012503,422
52,0.007329,422
53,0.007162,422
54,0.008546,422
55,0.011893,422
56,0.00404,422
57,0.003933,422
58,0.009451,422
59,0.009971,422
60,0.009452,421
