distance_items,mean_delta_bits,n
1,0.469455,2889
2,0.168363,2888
3,0.091179,2887
4,0.065658,2886
5,0.053745,2885
6,0.044538,2884
7,0.033788,2883
8,0.031799,2882
9,0.029303,2881
10,0.027259,2880
11,0.024865,2879
12,0.023911,2878
13,0.018439,2877
14,0.019217,2876
15,0.016567,2875
16,0.017053,2874
17,0.013841,2873
18,0.011537,2872
19,0.013487,2871
20,0.010805,2870
21,0.010376,2869
22,0.008992,2868
23,0.009008,2867
24,0.010085,2866
25,0.012264,2865
26,0.008004,2864
27,0.008942,2863
28,0.006415,2862
29,0.007435,2861
30,0.006973,2860
