bucket_start_h,n,exo_share,disclosure_rate_exo,n_exo,disclosure_rate_endo,n_endo,disclosure_rate_all,disclosure_richness
0,36,0.0,,0,0.0833,36,0.0833,1.0
6,186,0.0215,0.75,4,0.2418,182,0.2527,1.277
12,236,0.0381,0.6667,9,0.2555,227,0.2712,1.984
18,343,0.0262,0.6667,9,0.1826,334,0.1953,1.94
24,410,0.0537,0.2273,22,0.1546,388,0.1585,2.154
30,352,0.0597,0.0476,21,0.0967,331,0.0938,1.909
36,162,0.142,0.2174,23,0.0935,139,0.1111,2.222
42,255,0.0784,0.25,20,0.0851,235,0.098,2.08
48,192,0.026,0.2,5,0.0909,187,0.0938,2.0
54,209,0.0813,0.1765,17,0.0781,192,0.0861,2.167
60,201,0.0498,0.5,10,0.1361,191,0.1542,1.645
66,263,0.076,0.15,20,0.1605,243,0.1597,1.667
72,45,0.2444,0.1818,11,0.0294,34,0.0667,2.667
