hour_mid,n,novelty_short,novelty_long,gap,median_history_hours,median_ctx_tokens
3,36,0.7563,0.7456,0.0107,0.66,3812
9,186,0.8358,0.7642,0.0716,1.75,15867
15,236,0.8479,0.7603,0.0876,1.5,16194
21,343,0.8507,0.7644,0.0862,0.81,16139
27,410,0.8442,0.7482,0.096,0.82,16259
33,352,0.8795,0.7914,0.0881,0.73,16237
39,162,0.8648,0.7764,0.0884,1.4,16157
45,255,0.864,0.7862,0.0778,1.45,16377
51,192,0.86,0.7771,0.0829,1.75,16235
57,209,0.8884,0.7979,0.0905,1.24,16077
63,201,0.8449,0.7764,0.0685,1.7,16207
69,263,0.8702,0.7905,0.0796,0.99,16104
75,45,0.8629,0.7933,0.0696,1.4,16133
