series,created_at_ms,hours_since_start,value,roll_n
self_bpc_all,1785987302321,8.8952,4.30035,100
self_bpc_all,1785987340519,8.9058,4.28894,100
self_bpc_all,1785987472384,8.9424,4.28652,100
self_bpc_all,1785987481223,8.9449,4.28146,100
self_bpc_all,1785987501612,8.9506,4.27959,100
self_bpc_all,1785987501846,8.9506,4.28144,100
self_bpc_all,1785987681826,9.0006,4.27084,100
self_bpc_all,1785987758636,9.022,4.26397,100
self_bpc_all,1785987778631,9.0275,4.25333,100
self_bpc_all,1785987793764,9.0317,4.22338,100
self_bpc_all,1785987924549,9.068,4.2102,100
self_bpc_all,1785987970371,9.0808,4.20094,100
self_bpc_all,1785988142068,9.1285,4.19135,100
self_bpc_all,1785988315174,9.1766,4.18563,100
self_bpc_all,1785988425117,9.2071,4.17696,100
self_bpc_all,1785988448872,9.2137,4.16688,100
self_bpc_all,1785988773585,9.3039,4.15739,100
self_bpc_all,1785988803466,9.3122,4.15545,100
self_bpc_all,1785988896314,9.338,4.15234,100
self_bpc_all,1785989096450,9.3936,4.1313,100
self_bpc_all,1785989239659,9.4334,4.12088,100
self_bpc_all,1785989294121,9.4485,4.1159,100
self_bpc_all,1785989355909,9.4656,4.11516,100
self_bpc_all,1785989356286,9.4658,4.11111,100
self_bpc_all,1785989356669,9.4659,4.1098,100
self_bpc_all,1785989357061,9.466,4.10912,100
self_bpc_all,1785989357450,9.4661,4.10787,100
self_bpc_all,1785989357844,9.4662,4.10743,100
self_bpc_all,1785989358321,9.4663,4.10508,100
self_bpc_all,1785989358744,9.4664,4.11149,100
self_bpc_all,1785989359153,9.4666,4.11168,100
self_bpc_all,1785989359554,9.4667,4.11235,100
self_bpc_all,1785989359924,9.4668,4.11239,100
self_bpc_all,1785989360365,9.4669,4.11404,100
self_bpc_all,1785989360772,9.467,4.11229,100
self_bpc_all,1785989361205,9.4671,4.11122,100
self_bpc_all,1785989361701,9.4673,4.11383,100
self_bpc_all,1785989362099,9.4674,4.11265,100
self_bpc_all,1785989362472,9.4675,4.1138,100
self_bpc_all,1785989362840,9.4676,4.1152,100
self_bpc_all,1785989363212,9.4677,4.11338,100
self_bpc_all,1785989363658,9.4678,4.11525,100
self_bpc_all,1785989592706,9.5314,4.11009,100
self_bpc_all,1785990211804,9.7034,4.10795,100
self_bpc_all,1785990273835,9.7206,4.1065,100
self_bpc_all,1785990538091,9.794,4.09955,100
self_bpc_all,1785990596643,9.8103,4.09418,100
self_bpc_all,1785990923580,9.9011,4.09945,100
self_bpc_all,1785991082959,9.9454,4.09606,100
self_bpc_all,1785991168677,9.9692,4.0969,100
self_bpc_all,1785991214755,9.982,4.09505,100
self_bpc_all,1785991232003,9.9868,4.08501,100
self_bpc_all,1785991323980,10.0123,4.07803,100
self_bpc_all,1785991363867,10.0234,4.0839,100
self_bpc_all,1785992178024,10.2496,4.08217,100
self_bpc_all,1785992178528,10.2497,4.08086,100
self_bpc_all,1785992298225,10.283,4.0791,100
self_bpc_all,1785992494080,10.3374,4.07861,100
self_bpc_all,1785992517735,10.3439,4.07711,100
self_bpc_all,1785992596814,10.3659,4.07866,100
self_bpc_all,1785992602016,10.3673,4.06915,100
self_bpc_all,1785993095848,10.5045,4.07475,100
self_bpc_all,1785993161734,10.5228,4.07369,100
self_bpc_all,1785993200043,10.5335,4.06952,100
self_bpc_all,1785993631363,10.6533,4.07092,100
self_bpc_all,1785993636934,10.6548,4.07443,100
self_bpc_all,1785993642501,10.6564,4.08089,100
self_bpc_all,1785993705752,10.6739,4.0819,100
self_bpc_all,1785993706038,10.674,4.08282,100
self_bpc_all,1785993711025,10.6754,4.08456,100
self_bpc_all,1785993716245,10.6769,4.07175,100
self_bpc_all,1785993761635,10.6895,4.07096,100
self_bpc_all,1785993761920,10.6895,4.07089,100
self_bpc_all,1785993762203,10.6896,4.06956,100
self_bpc_all,1785993762488,10.6897,4.06949,100
self_bpc_all,1785993762788,10.6898,4.07128,100
self_bpc_all,1785993763080,10.6899,4.0703,100
self_bpc_all,1785993763371,10.6899,4.0714,100
self_bpc_all,1785993763661,10.69,4.0727,100
self_bpc_all,1785993787332,10.6966,4.07221,100
self_bpc_all,1785993787618,10.6967,4.07587,100
self_bpc_all,1785993787913,10.6968,4.07899,100
self_bpc_all,1785993788224,10.6968,4.07885,100
self_bpc_all,1785993788590,10.6969,4.07704,100
self_bpc_all,1785993788894,10.697,4.07889,100
self_bpc_all,1785993789194,10.6971,4.08024,100
self_bpc_all,1785993792241,10.698,4.07894,100
self_bpc_all,1785994324631,10.8459,4.07877,100
self_bpc_all,1785994581353,10.9172,4.07548,100
self_bpc_all,1785994611131,10.9254,4.07047,100
self_bpc_all,1785994681971,10.9451,4.06692,100
self_bpc_all,1785994682478,10.9453,4.06533,100
self_bpc_all,1785994750657,10.9642,4.0606,100
self_bpc_all,1785994864286,10.9958,4.06051,100
self_bpc_all,1785994940921,11.017,4.04424,100
self_bpc_all,1785995099726,11.0612,4.04138,100
self_bpc_all,1785995411053,11.1476,4.03644,100
self_bpc_all,1785995935766,11.2934,4.03531,100
self_bpc_all,1785996019918,11.3168,4.03811,100
self_bpc_all,1785996204733,11.3681,4.03313,100
self_bpc_all,1785996247567,11.38,4.04216,100
self_bpc_all,1785996378092,11.4163,4.04584,100
self_bpc_all,1785996388903,11.4193,4.04644,100
self_bpc_all,1785996392648,11.4203,4.04743,100
self_bpc_all,1785996514760,11.4542,4.0442,100
self_bpc_all,1785996629690,11.4861,4.04476,100
self_bpc_all,1785996634110,11.4874,4.04809,100
self_bpc_all,1785996638475,11.4886,4.05004,100
self_bpc_all,1785996849166,11.5471,4.03667,100
self_bpc_all,1785997001575,11.5894,4.05642,100
self_bpc_all,1785997022155,11.5952,4.06823,100
self_bpc_all,1785997365436,11.6905,4.06849,100
self_bpc_all,1785997430105,11.7085,4.07126,100
self_bpc_all,1785997493775,11.7262,4.07589,100
self_bpc_all,1785997620753,11.7614,4.08416,100
self_bpc_all,1785997801146,11.8115,4.0916,100
self_bpc_all,1785997972837,11.8592,4.09698,100
self_bpc_all,1785998087956,11.8912,4.08852,100
self_bpc_all,1785998202406,11.923,4.08821,100
self_bpc_all,1785998231007,11.931,4.10696,100
self_bpc_all,1785998232472,11.9314,4.11775,100
self_bpc_all,1785998441917,11.9895,4.11536,100
self_bpc_all,1785998467719,11.9967,4.11627,100
self_bpc_all,1785998523827,12.0123,4.09778,100
self_bpc_all,1785998599342,12.0333,4.09484,100
self_bpc_all,1785998600051,12.0335,4.08836,100
self_bpc_all,1785998923333,12.1233,4.08831,100
self_bpc_all,1785999165270,12.1905,4.07204,100
self_bpc_all,1785999350321,12.2419,4.06726,100
self_bpc_all,1785999357460,12.2439,4.06712,100
self_bpc_all,1785999371577,12.2478,4.0666,100
self_bpc_all,1785999382091,12.2507,4.06558,100
self_bpc_all,1785999386892,12.252,4.06561,100
self_bpc_all,1785999458516,12.2719,4.06506,100
self_bpc_all,1785999460745,12.2725,4.06414,100
self_bpc_all,1785999461903,12.2729,4.06253,100
self_bpc_all,1785999484565,12.2792,4.05999,100
self_bpc_all,1785999556180,12.2991,4.05853,100
self_bpc_all,1785999709818,12.3417,4.05685,100
self_bpc_all,1785999741027,12.3504,4.05777,100
self_bpc_all,1785999783763,12.3623,4.05666,100
self_bpc_all,1785999859163,12.3832,4.05438,100
self_bpc_all,1786000125984,12.4573,4.05852,100
self_bpc_all,1786000223267,12.4844,4.06138,100
self_bpc_all,1786000351037,12.5199,4.06181,100
